600926 0.042 杭州银行
600958 0.332 东方证券
600959 0.096 江苏有线
600977 0.108 中国电影
600999 0.344 招商证券
601006 0.451 大秦铁路
601009 0.393 南京银行
601012 0.44 隆基股份
601018 0.185 宁波港
601021 0.084 春秋航空
601088 0.379 中国神华
601099 0.173 太平洋
601111 0.213 中国国航
601117 0.132 中国化学
601118 0.064 海南橡胶
601155 0.261 新城控股
601163 0.036 三角轮胎
601166 1.837 兴业银行
601169 0.921 北京银行
601186 0.417 中国铁建
601198 0.137 东兴证券
601211 0.607 国泰君安
601212 0.039 白银有色
601216 0.136 君正集团
601225 0.293 陕西煤业
601228 0.037 广州港
601229 0.119 上海银行
601288 1.332 农业银行
601318 6.034 中国平安
601328 1.553 交通银行
601333 0.139 广深铁路
601336 0.33 新华保险
601375 0.044 中原证券
601377 0.272 兴业证券
601390 0.378 中国中铁
601398 1.184 工商银行
601555 0.176 东吴证券
601600 0.282 中国铝业
601601 0.909 中国太保
601607 0.247 上海医药
601608 0.053 中信重工
601611 0.067 中国核建
601618 0.181 中国中冶
601628 0.373 中国人寿
601633 0.12 长城汽车
601668 1.151 中国建筑
601669 0.267 中国电建
601688 0.547 华泰证券
601718 0.056 际华集团
601727 0.185 上海电气
601766 0.646 中国中车
601788 0.225 光大证券
601800 0.186 中国交建
601818 0.588 光大银行
601857 0.453 中国石油
601866 0.086 中远海发
601872 0.073 招商轮船
601877 0.112 正泰电器
601878 0.04 浙商证券
601881 0.059 中国银河
601888 0.465 中国国旅
601898 0.084 中煤能源
601899 0.391 紫金矿业
601901 0.223 方正证券
601919 0.197 中远海控
601933 0.317 永辉超市
601939 0.459 建设银行
601958 0.059 金钼股份
601966 0.07 玲珑轮胎
601985 0.285 中国核电
601988 0.736 中国银行
601989 0.427 中国重工
601991 0.076 大唐发电
601992 0.128 金隅集团
601997 0.182 贵阳银行
601998 0.179 中信银行
603160 0.04 汇顶科技
603799 0.295 华友钴业
603833 0.053 欧派家居
603858 0.034 步长制药
603993 0.184 洛阳钼业
